t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3824.63,355998,355998,355998,1,NaN,NaN,0.00197042,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111206
2.0435,3997.5,3823.09,354637,354637,354637,1,NaN,NaN,0.00197281,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111349
4.09641,3995,3821.17,352942,352942,352942,1,NaN,NaN,0.00197581,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111491
6.15919,3992.51,3819.24,351255,351255,351255,1,NaN,NaN,0.00197881,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111634
8.23187,3990.01,3817.31,349575,349575,349575,1,NaN,NaN,0.00198182,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111778
10.3145,3987.51,3815.38,347903,347903,347903,1,NaN,NaN,0.00198483,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00111921
12.4072,3985.01,3813.45,346238,346238,346238,1,NaN,NaN,0.00198785,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00112066
14.5099,3982.52,3811.51,344580,344580,344580,1,NaN,NaN,0.00199088,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.0011221
16.6227,3980.02,3809.58,342929,342929,342929,1,NaN,NaN,0.00199392,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00112356
18.7458,3977.52,3807.64,341285,341285,341285,1,NaN,NaN,0.00199696,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00112501
20.879,3975.02,3805.7,339649,339649,339649,1,NaN,NaN,0.00200001,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00112647
23.0225,3972.53,3803.76,338020,338020,338020,1,NaN,NaN,0.00200307,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00112794
25.1764,3970.03,3801.81,336398,336398,336398,1,NaN,NaN,0.00200613,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.0011294
27.3406,3967.53,3799.87,334783,334783,334783,1,NaN,NaN,0.0020092,0,6.1806e+19,2.1118e+20,0,4.6681e+20,2.74036e+18,5.84346e+20,153.007,10.9885,142.019,NaN,NaN,NaN,NaN,0.0421328,NaN,3.50796e+06,0.00113088
