t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3890.48,190033,190033,190033,1,NaN,NaN,0.00230522,0,1.16823e+20,4.29147e+20,0,1.54883e+21,1.63438e+19,1.27301e+21,329.394,60.9576,268.438,NaN,NaN,NaN,NaN,0.0391889,NaN,3.50796e+06,0.00111206
3.82862,3997.5,3888.8,189234,189234,189234,1,NaN,NaN,0.00230824,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00111349
7.67665,3995,3886.7,188241,188241,188241,1,NaN,NaN,0.00231202,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00111491
11.545,3992.51,3884.6,187252,187252,187252,1,NaN,NaN,0.00231581,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00111634
15.4337,3990.01,3882.49,186269,186269,186269,1,NaN,NaN,0.0023196,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00111777
19.343,3987.51,3880.39,185291,185291,185291,1,NaN,NaN,0.0023234,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00111921
23.2729,3985.02,3878.28,184318,184318,184318,1,NaN,NaN,0.00232721,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00112066
27.2236,3982.52,3876.17,183350,183350,183350,1,NaN,NaN,0.00233103,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.0011221
31.1951,3980.02,3874.06,182387,182387,182387,1,NaN,NaN,0.00233485,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00112355
35.1876,3977.52,3871.95,181429,181429,181429,1,NaN,NaN,0.00233869,0,1.16822e+20,4.2915e+20,0,1.54882e+21,1.6344e+19,1.27301e+21,329.394,60.9576,268.436,NaN,NaN,NaN,NaN,0.0391884,NaN,3.50796e+06,0.00112501
