t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3770.78,508779,508779,508779,1,NaN,NaN,0.00180214,0,3.15058e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432012,NaN,3.50796e+06,0.00111206
1.42971,3997.5,3769.32,507011,507011,507011,1,NaN,NaN,0.00180417,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00111349
2.8654,3995,3767.49,504809,504809,504809,1,NaN,NaN,0.00180671,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00111491
4.30736,3992.51,3765.67,502615,502615,502615,1,NaN,NaN,0.00180926,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00111634
5.75561,3990.01,3763.84,500429,500429,500429,1,NaN,NaN,0.00181181,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00111778
7.21019,3987.51,3762.01,498251,498251,498251,1,NaN,NaN,0.00181437,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00111921
8.67113,3985.01,3760.17,496082,496082,496082,1,NaN,NaN,0.00181694,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00112066
10.1385,3982.51,3758.34,493921,493921,493921,1,NaN,NaN,0.00181951,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.0011221
11.6122,3980.02,3756.51,491768,491768,491768,1,NaN,NaN,0.00182208,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00112356
13.0924,3977.52,3754.67,489623,489623,489623,1,NaN,NaN,0.00182467,0,3.15057e+19,1.04987e+20,0,1.55959e+20,5.58143e+17,2.84122e+20,74.6894,2.29484,72.3946,NaN,NaN,NaN,NaN,0.0432011,NaN,3.50796e+06,0.00112501
