t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3860.19,263171,263171,263171,1,NaN,NaN,0.00212501,0,2.77018e+19,1.08789e+20,0,8.31318e+20,7.18292e+18,3.46844e+20,88.7114,25.0598,63.6538,NaN,NaN,NaN,NaN,0.0366576,NaN,3.50796e+06,0.00111206
2.76418,3997.5,3858.54,262203,262203,262203,1,NaN,NaN,0.00212751,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00111349
5.54059,3995,3856.48,261002,261002,261002,1,NaN,NaN,0.00213064,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00111491
8.32977,3992.51,3854.41,259805,259805,259805,1,NaN,NaN,0.00213377,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00111634
11.1318,3990.01,3852.35,258614,258614,258614,1,NaN,NaN,0.00213691,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00111778
13.9467,3987.51,3850.28,257428,257428,257428,1,NaN,NaN,0.00214005,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00111921
16.7746,3985.01,3848.22,256248,256248,256248,1,NaN,NaN,0.0021432,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112066
19.6156,3982.52,3846.15,255072,255072,255072,1,NaN,NaN,0.00214636,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.0011221
22.4696,3980.02,3844.08,253902,253902,253902,1,NaN,NaN,0.00214952,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112356
25.3368,3977.52,3842,252736,252736,252736,1,NaN,NaN,0.00215269,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112501
28.2172,3975.02,3839.93,251576,251576,251576,1,NaN,NaN,0.00215587,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112647
31.1109,3972.52,3837.86,250421,250421,250421,1,NaN,NaN,0.00215905,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112794
34.0179,3970.03,3835.78,249271,249271,249271,1,NaN,NaN,0.00216224,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00112941
36.9384,3967.53,3833.7,248126,248126,248126,1,NaN,NaN,0.00216544,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113088
39.8723,3965.03,3831.63,246985,246985,246985,1,NaN,NaN,0.00216864,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113236
42.8198,3962.53,3829.55,245850,245850,245850,1,NaN,NaN,0.00217185,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113384
45.7809,3960.04,3827.47,244720,244720,244720,1,NaN,NaN,0.00217506,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113532
48.7557,3957.54,3825.38,243594,243594,243594,1,NaN,NaN,0.00217829,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113682
51.7442,3955.04,3823.3,242473,242473,242473,1,NaN,NaN,0.00218152,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113831
54.7466,3952.54,3821.22,241357,241357,241357,1,NaN,NaN,0.00218475,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00113981
57.7628,3950.05,3819.13,240246,240246,240246,1,NaN,NaN,0.002188,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00114132
60.793,3947.55,3817.04,239140,239140,239140,1,NaN,NaN,0.00219124,0,2.77008e+19,1.08792e+20,0,8.31317e+20,7.18337e+18,3.46844e+20,88.7114,25.0598,63.6516,NaN,NaN,NaN,NaN,0.0366553,NaN,3.50796e+06,0.00114282
