t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3834.76,317871,317871,317871,1,NaN,NaN,0.00207927,0,5.43967e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.787,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111206
2.11086,3997.5,3833.21,316635,316635,316635,1,NaN,NaN,0.00208183,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111349
4.23161,3995,3831.26,315097,315097,315097,1,NaN,NaN,0.00208503,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111491
6.36272,3992.51,3829.31,313566,313566,313566,1,NaN,NaN,0.00208824,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111634
8.50424,3990.01,3827.35,312041,312041,312041,1,NaN,NaN,0.00209146,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111778
10.6562,3987.51,3825.4,310523,310523,310523,1,NaN,NaN,0.00209468,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00111921
12.8187,3985.01,3823.44,309012,309012,309012,1,NaN,NaN,0.00209791,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00112066
14.9918,3982.52,3821.49,307508,307508,307508,1,NaN,NaN,0.00210115,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.0011221
17.1755,3980.02,3819.53,306011,306011,306011,1,NaN,NaN,0.0021044,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00112356
19.3699,3977.52,3817.57,304520,304520,304520,1,NaN,NaN,0.00210765,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00112501
21.575,3975.02,3815.6,303036,303036,303036,1,NaN,NaN,0.00211091,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00112647
23.791,3972.53,3813.64,301558,301558,301558,1,NaN,NaN,0.00211418,0,5.43966e+19,2.18494e+20,0,4.66484e+20,3.43763e+18,6.09365e+20,159.463,13.6765,145.786,NaN,NaN,NaN,NaN,0.0417701,NaN,3.33256e+06,0.00112794
