t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3902.94,156383,156383,156383,1,NaN,NaN,0.00248271,0,1.01538e+20,4.44324e+20,0,1.54568e+21,2.07359e+19,1.34831e+21,347.85,75.7246,272.129,NaN,NaN,NaN,NaN,0.038341,NaN,3.33256e+06,0.00111206
4.29115,3997.5,3901.22,155715,155715,155715,1,NaN,NaN,0.00248601,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00111348
8.60437,3995,3899.08,154885,154885,154885,1,NaN,NaN,0.00249012,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00111491
12.9407,3992.51,3896.94,154060,154060,154060,1,NaN,NaN,0.00249425,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00111634
17.3003,3990.01,3894.8,153239,153239,153239,1,NaN,NaN,0.00249839,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00111777
21.6832,3987.51,3892.65,152423,152423,152423,1,NaN,NaN,0.00250253,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00111921
26.0895,3985.02,3890.5,151611,151611,151611,1,NaN,NaN,0.00250668,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00112066
30.5195,3982.52,3888.36,150804,150804,150804,1,NaN,NaN,0.00251084,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.0011221
34.9732,3980.02,3886.21,150001,150001,150001,1,NaN,NaN,0.002515,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00112355
39.4507,3977.52,3884.06,149202,149202,149202,1,NaN,NaN,0.00251918,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00112501
43.9522,3975.03,3881.9,148408,148408,148408,1,NaN,NaN,0.00252336,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00112647
48.4778,3972.53,3879.75,147618,147618,147618,1,NaN,NaN,0.00252755,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00112793
53.0276,3970.03,3877.6,146832,146832,146832,1,NaN,NaN,0.00253175,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.0011294
57.6017,3967.53,3875.44,146051,146051,146051,1,NaN,NaN,0.00253595,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113088
62.2003,3965.04,3873.28,145273,145273,145273,1,NaN,NaN,0.00254017,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113235
66.8236,3962.54,3871.12,144500,144500,144500,1,NaN,NaN,0.00254439,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113383
71.4715,3960.04,3868.96,143731,143731,143731,1,NaN,NaN,0.00254862,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113532
76.1444,3957.54,3866.8,142966,142966,142966,1,NaN,NaN,0.00255286,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113681
80.8422,3955.05,3864.64,142206,142206,142206,1,NaN,NaN,0.0025571,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113831
85.5651,3952.55,3862.47,141449,141449,141449,1,NaN,NaN,0.00256136,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00113981
90.3133,3950.05,3860.31,140697,140697,140697,1,NaN,NaN,0.00256562,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00114131
95.087,3947.56,3858.14,139948,139948,139948,1,NaN,NaN,0.0025699,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00114282
99.8861,3945.06,3855.97,139203,139203,139203,1,NaN,NaN,0.00257418,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00114433
104.711,3942.56,3853.8,138463,138463,138463,1,NaN,NaN,0.00257847,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00114585
109.562,3940.06,3851.63,137726,137726,137726,1,NaN,NaN,0.00258276,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00114737
114.438,3937.57,3849.46,136993,136993,136993,1,NaN,NaN,0.00258707,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.0011489
119.341,3935.07,3847.29,136264,136264,136264,1,NaN,NaN,0.00259139,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115043
124.27,3932.57,3845.12,135539,135539,135539,1,NaN,NaN,0.00259571,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115197
129.225,3930.07,3842.94,134818,134818,134818,1,NaN,NaN,0.00260004,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115351
134.207,3927.58,3840.76,134100,134100,134100,1,NaN,NaN,0.00260439,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115506
139.215,3925.08,3838.59,133387,133387,133387,1,NaN,NaN,0.00260874,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115661
144.25,3922.58,3836.41,132677,132677,132677,1,NaN,NaN,0.0026131,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115816
149.313,3920.08,3834.23,131971,131971,131971,1,NaN,NaN,0.00261747,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00115972
154.402,3917.59,3832.05,131268,131268,131268,1,NaN,NaN,0.00262184,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116129
159.518,3915.09,3829.86,130570,130570,130570,1,NaN,NaN,0.00262623,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116286
164.662,3912.59,3827.68,129875,129875,129875,1,NaN,NaN,0.00263063,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116443
169.833,3910.1,3825.49,129183,129183,129183,1,NaN,NaN,0.00263503,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116601
175.033,3907.6,3823.31,128495,128495,128495,1,NaN,NaN,0.00263945,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116759
180.259,3905.1,3821.12,127811,127811,127811,1,NaN,NaN,0.00264387,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00116918
185.514,3902.6,3818.93,127131,127131,127131,1,NaN,NaN,0.0026483,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00117078
190.797,3900.11,3816.74,126453,126453,126453,1,NaN,NaN,0.00265275,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00117238
196.109,3897.61,3814.55,125780,125780,125780,1,NaN,NaN,0.0026572,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00117398
201.448,3895.11,3812.36,125110,125110,125110,1,NaN,NaN,0.00266166,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00117559
206.817,3892.61,3810.17,124444,124444,124444,1,NaN,NaN,0.00266613,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.0011772
212.214,3890.12,3807.97,123780,123780,123780,1,NaN,NaN,0.00267061,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00117882
217.64,3887.62,3805.78,123121,123121,123121,1,NaN,NaN,0.0026751,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00118044
223.095,3885.12,3803.58,122465,122465,122465,1,NaN,NaN,0.0026796,0,1.01537e+20,4.44329e+20,0,1.54568e+21,2.07365e+19,1.34831e+21,347.85,75.7246,272.125,NaN,NaN,NaN,NaN,0.03834,NaN,3.33256e+06,0.00118207
