t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3942.31,78145.6,78145.6,78145.6,1,NaN,NaN,0.00295289,0,1.99999e+19,1.16443e+20,0,1.539e+21,2.7419e+19,5.27865e+20,128.856,75.2573,53.601,NaN,NaN,NaN,NaN,0.0288168,NaN,3.33256e+06,0.00111206
8.58581,3997.5,3940.46,77860.6,77860.6,77860.6,1,NaN,NaN,0.00295635,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00111349
17.2091,3995,3938.13,77509.2,77509.2,77509.2,1,NaN,NaN,0.00296064,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00111491
25.8714,3992.51,3935.81,77160.2,77160.2,77160.2,1,NaN,NaN,0.00296493,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00111634
34.5729,3990.01,3933.49,76813.6,76813.6,76813.6,1,NaN,NaN,0.00296922,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00111778
43.3136,3987.51,3931.16,76469.3,76469.3,76469.3,1,NaN,NaN,0.00297351,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00111921
52.0937,3985.01,3928.84,76127.4,76127.4,76127.4,1,NaN,NaN,0.00297781,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112066
60.9131,3982.52,3926.51,75787.6,75787.6,75787.6,1,NaN,NaN,0.0029821,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.0011221
69.7721,3980.02,3924.19,75450.1,75450.1,75450.1,1,NaN,NaN,0.00298639,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112356
78.6706,3977.52,3921.86,75114.7,75114.7,75114.7,1,NaN,NaN,0.00299069,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112501
87.6088,3975.02,3919.53,74781.4,74781.4,74781.4,1,NaN,NaN,0.00299499,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112647
96.5869,3972.52,3917.2,74450.2,74450.2,74450.2,1,NaN,NaN,0.00299929,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112794
105.605,3970.03,3914.87,74121.1,74121.1,74121.1,1,NaN,NaN,0.00300359,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00112941
114.663,3967.53,3912.54,73793.9,73793.9,73793.9,1,NaN,NaN,0.00300789,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113088
123.761,3965.03,3910.2,73468.6,73468.6,73468.6,1,NaN,NaN,0.0030122,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113236
132.899,3962.53,3907.87,73145.3,73145.3,73145.3,1,NaN,NaN,0.00301651,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113384
142.078,3960.04,3905.54,72823.8,72823.8,72823.8,1,NaN,NaN,0.00302082,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113533
151.297,3957.54,3903.2,72504.2,72504.2,72504.2,1,NaN,NaN,0.00302513,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113682
160.557,3955.04,3900.87,72186.4,72186.4,72186.4,1,NaN,NaN,0.00302945,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113831
169.858,3952.54,3898.53,71870.4,71870.4,71870.4,1,NaN,NaN,0.00303378,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00113981
179.199,3950.04,3896.19,71556.1,71556.1,71556.1,1,NaN,NaN,0.0030381,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00114132
188.582,3947.55,3893.86,71243.5,71243.5,71243.5,1,NaN,NaN,0.00304244,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00114283
198.005,3945.05,3891.52,70932.5,70932.5,70932.5,1,NaN,NaN,0.00304677,0,1.99991e+19,1.16446e+20,0,1.539e+21,2.74208e+19,5.27865e+20,128.856,75.2572,53.5989,NaN,NaN,NaN,NaN,0.0288149,NaN,3.33256e+06,0.00114434
