t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3917.96,124979,124979,124979,1,NaN,NaN,0.00262581,0,4.614e+19,2.26749e+20,0,1.54318e+21,2.32337e+19,7.88493e+20,199.207,75.5498,123.658,NaN,NaN,NaN,NaN,0.03414,NaN,3.33256e+06,0.00111206
5.36892,3997.5,3916.18,124481,124481,124481,1,NaN,NaN,0.00262911,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00111349
10.7636,3995,3913.96,123862,123862,123862,1,NaN,NaN,0.00263323,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00111491
16.1853,3992.51,3911.75,123246,123246,123246,1,NaN,NaN,0.00263736,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00111634
21.634,3990.01,3909.52,122634,122634,122634,1,NaN,NaN,0.00264149,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00111778
27.1099,3987.51,3907.3,122025,122025,122025,1,NaN,NaN,0.00264563,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00111921
32.6132,3985.01,3905.08,121420,121420,121420,1,NaN,NaN,0.00264977,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00112066
38.1438,3982.52,3902.86,120818,120818,120818,1,NaN,NaN,0.00265392,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.0011221
43.702,3980.02,3900.63,120220,120220,120220,1,NaN,NaN,0.00265808,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00112355
49.2879,3977.52,3898.4,119624,119624,119624,1,NaN,NaN,0.00266224,0,4.61395e+19,2.26751e+20,0,1.54318e+21,2.32342e+19,7.88493e+20,199.207,75.5498,123.657,NaN,NaN,NaN,NaN,0.0341394,NaN,3.33256e+06,0.00112501
