t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3841.81,299918,299918,299918,1,NaN,NaN,0.00210971,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111206
2.23736,3997.5,3840.26,298688,298688,298688,1,NaN,NaN,0.00211242,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111349
4.48578,3995,3838.32,297158,297158,297158,1,NaN,NaN,0.00211581,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111491
6.74579,3992.51,3836.38,295635,295635,295635,1,NaN,NaN,0.00211921,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111634
9.01744,3990.01,3834.43,294119,294119,294119,1,NaN,NaN,0.00212262,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111778
11.3008,3987.51,3832.49,292610,292610,292610,1,NaN,NaN,0.00212603,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00111921
13.5959,3985.01,3830.54,291108,291108,291108,1,NaN,NaN,0.00212945,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00112066
15.9029,3982.52,3828.59,289614,289614,289614,1,NaN,NaN,0.00213288,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011221
18.2218,3980.02,3826.64,288126,288126,288126,1,NaN,NaN,0.00213632,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00112355
20.5527,3977.52,3824.68,286646,286646,286646,1,NaN,NaN,0.00213976,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00112501
22.8956,3975.03,3822.74,285172,285172,285172,1,NaN,NaN,0.00214299,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00112647
25.2506,3972.53,3820.77,283706,283706,283706,1,NaN,NaN,0.00214668,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00112793
27.6177,3970.03,3818.81,282247,282247,282247,1,NaN,NaN,0.00215015,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011294
29.9972,3967.53,3816.85,280794,280794,280794,1,NaN,NaN,0.00215362,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113088
32.3889,3965.04,3814.89,279349,279349,279349,1,NaN,NaN,0.00215711,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113235
34.793,3962.54,3812.92,277910,277910,277910,1,NaN,NaN,0.0021606,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113384
37.2095,3960.04,3810.96,276479,276479,276479,1,NaN,NaN,0.0021641,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113532
39.6386,3957.54,3808.99,275054,275054,275054,1,NaN,NaN,0.00216761,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113681
42.0803,3955.05,3807.02,273636,273636,273636,1,NaN,NaN,0.00217112,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113831
44.5346,3952.55,3805.05,272225,272225,272225,1,NaN,NaN,0.00217465,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00113981
47.0016,3950.05,3803.08,270821,270821,270821,1,NaN,NaN,0.00217818,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00114131
49.4814,3947.55,3801.1,269423,269423,269423,1,NaN,NaN,0.00218172,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00114282
51.9741,3945.06,3799.13,268032,268032,268032,1,NaN,NaN,0.00218526,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00114433
54.4797,3942.56,3797.15,266648,266648,266648,1,NaN,NaN,0.00218882,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00114585
56.9983,3940.06,3795.17,265271,265271,265271,1,NaN,NaN,0.00219238,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00114738
59.5301,3937.56,3793.19,263900,263900,263900,1,NaN,NaN,0.00219595,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011489
62.0749,3935.07,3791.2,262536,262536,262536,1,NaN,NaN,0.00219953,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115043
64.633,3932.57,3789.22,261179,261179,261179,1,NaN,NaN,0.00220312,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115197
67.2044,3930.07,3787.23,259828,259828,259828,1,NaN,NaN,0.00220672,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115351
69.7891,3927.57,3785.24,258484,258484,258484,1,NaN,NaN,0.00221032,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115506
72.3873,3925.08,3783.25,257146,257146,257146,1,NaN,NaN,0.00221393,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115661
74.999,3922.58,3781.26,255815,255815,255815,1,NaN,NaN,0.00221755,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115816
77.6243,3920.08,3779.26,254490,254490,254490,1,NaN,NaN,0.00222118,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00115972
80.2633,3917.58,3777.27,253172,253172,253172,1,NaN,NaN,0.00222481,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00116129
82.916,3915.09,3775.27,251860,251860,251860,1,NaN,NaN,0.00222846,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00116286
85.5826,3912.59,3773.27,250555,250555,250555,1,NaN,NaN,0.00223211,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00116443
88.263,3910.09,3771.27,249256,249256,249256,1,NaN,NaN,0.00223577,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00116601
90.9574,3907.6,3769.27,247963,247963,247963,1,NaN,NaN,0.00223943,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011676
93.6658,3905.1,3767.27,246677,246677,246677,1,NaN,NaN,0.00224311,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00116919
96.3884,3902.6,3765.26,245397,245397,245397,1,NaN,NaN,0.00224679,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00117078
99.1252,3900.1,3763.25,244123,244123,244123,1,NaN,NaN,0.00225049,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00117238
101.876,3897.61,3761.24,242856,242856,242856,1,NaN,NaN,0.00225419,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00117398
104.642,3895.11,3759.23,241594,241594,241594,1,NaN,NaN,0.0022579,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00117559
107.422,3892.61,3757.22,240340,240340,240340,1,NaN,NaN,0.00226161,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011772
110.216,3890.11,3755.21,239091,239091,239091,1,NaN,NaN,0.00226534,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00117882
113.025,3887.62,3753.19,237848,237848,237848,1,NaN,NaN,0.00226907,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118045
115.848,3885.12,3751.17,236612,236612,236612,1,NaN,NaN,0.00227281,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118208
118.687,3882.62,3749.16,235381,235381,235381,1,NaN,NaN,0.00227656,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118371
121.54,3880.12,3747.13,234157,234157,234157,1,NaN,NaN,0.00228032,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118535
124.408,3877.63,3745.11,232939,232939,232939,1,NaN,NaN,0.00228409,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118699
127.291,3875.13,3743.09,231727,231727,231727,1,NaN,NaN,0.00228786,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.00118864
130.19,3872.63,3741.06,230521,230521,230521,1,NaN,NaN,0.00229165,0,1.12915e+20,4.32951e+20,0,1.55966e+20,6.86052e+17,1.15885e+21,305.478,2.85925,302.619,NaN,NaN,NaN,NaN,0.0437566,NaN,3.33256e+06,0.0011903
