t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3779.15,467992,467992,467992,1,NaN,NaN,0.00188762,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97384e+17,2.9482e+20,77.5173,2.85895,74.6585,NaN,NaN,NaN,NaN,0.0430412,NaN,3.33256e+06,0.00111206
1.43359,3997.5,3777.68,466340,466340,466340,1,NaN,NaN,0.00188977,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00111349
2.87328,3995,3775.84,464281,464281,464281,1,NaN,NaN,0.00189247,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00111491
4.31935,3992.51,3774,462231,462231,462231,1,NaN,NaN,0.00189517,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00111634
5.77184,3990.01,3772.16,460189,460189,460189,1,NaN,NaN,0.00189788,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00111778
7.23078,3987.51,3770.32,458154,458154,458154,1,NaN,NaN,0.00190059,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00111921
8.6962,3985.01,3768.47,456127,456127,456127,1,NaN,NaN,0.00190331,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00112066
10.1681,3982.52,3766.63,454108,454108,454108,1,NaN,NaN,0.00190604,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.0011221
11.6466,3980.02,3764.78,452097,452097,452097,1,NaN,NaN,0.00190877,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00112356
13.1317,3977.52,3762.93,450094,450094,450094,1,NaN,NaN,0.00191151,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00112501
14.6233,3975.02,3761.08,448098,448098,448098,1,NaN,NaN,0.00191426,0,2.7857e+19,1.08588e+20,0,1.55955e+20,6.97386e+17,2.9482e+20,77.5173,2.85895,74.6584,NaN,NaN,NaN,NaN,0.0430411,NaN,3.33256e+06,0.00112647
