t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3810.41,381832,381832,381832,1,NaN,NaN,0.00198612,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111206
1.75723,3997.5,3808.9,380379,380379,380379,1,NaN,NaN,0.00198852,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111349
3.52251,3995,3807.02,378571,378571,378571,1,NaN,NaN,0.00199153,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111491
5.29623,3992.51,3805.14,376770,376770,376770,1,NaN,NaN,0.00199454,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111634
7.07843,3990.01,3803.25,374977,374977,374977,1,NaN,NaN,0.00199757,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111778
8.86915,3987.51,3801.36,373191,373191,373191,1,NaN,NaN,0.00200059,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00111921
10.6684,3985.01,3799.47,371413,371413,371413,1,NaN,NaN,0.00200363,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00112066
12.4763,3982.52,3797.58,369643,369643,369643,1,NaN,NaN,0.00200667,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.0011221
14.2929,3980.02,3795.68,367880,367880,367880,1,NaN,NaN,0.00200972,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00112356
16.1182,3977.52,3793.79,366125,366125,366125,1,NaN,NaN,0.00201277,0,5.62017e+19,2.16689e+20,0,1.55962e+20,6.89828e+17,5.82747e+20,153.483,2.85915,150.624,NaN,NaN,NaN,NaN,0.0435157,NaN,3.33256e+06,0.00112501
