t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3870.22,230351,230351,230351,1,NaN,NaN,0.0022536,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90296e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111206
2.91315,3997.5,3868.6,229383,229383,229383,1,NaN,NaN,0.00225655,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111349
5.84104,3995,3866.57,228180,228180,228180,1,NaN,NaN,0.00226024,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111491
8.78439,3992.51,3864.54,226982,226982,226982,1,NaN,NaN,0.00226394,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111634
11.7433,3990.01,3862.51,225790,225790,225790,1,NaN,NaN,0.00226765,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111777
14.7178,3987.51,3860.47,224604,224604,224604,1,NaN,NaN,0.00227137,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00111921
17.708,3985.02,3858.44,223425,223425,223425,1,NaN,NaN,0.00227509,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00112066
20.714,3982.52,3856.4,222251,222251,222251,1,NaN,NaN,0.00227882,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.0011221
23.7358,3980.02,3854.36,221083,221083,221083,1,NaN,NaN,0.00228256,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00112355
26.7737,3977.52,3852.32,219921,219921,219921,1,NaN,NaN,0.00228631,0,1.08189e+20,4.37676e+20,0,8.3126e+20,7.90297e+18,1.22872e+21,321.172,31.2179,289.954,NaN,NaN,NaN,NaN,0.0414728,NaN,3.33256e+06,0.00112501
