t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3878.78,210328,210328,210328,1,NaN,NaN,0.00230542,0,2.38151e+19,1.12626e+20,0,8.29945e+20,9.2178e+18,3.7323e+20,94.969,31.1474,63.8259,NaN,NaN,NaN,NaN,0.0354768,NaN,3.33256e+06,0.00111206
3.19006,3997.5,3877.09,209542,209542,209542,1,NaN,NaN,0.00230817,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00111349
6.39442,3995,3874.97,208569,208569,208569,1,NaN,NaN,0.00231159,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00111491
9.61372,3992.51,3872.86,207601,207601,207601,1,NaN,NaN,0.00231502,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00111634
12.848,3990.01,3870.74,206637,206637,206637,1,NaN,NaN,0.00231846,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00111778
16.0974,3987.51,3868.62,205678,205678,205678,1,NaN,NaN,0.00232191,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00111921
19.362,3985.01,3866.5,204723,204723,204723,1,NaN,NaN,0.00232536,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00112066
22.6418,3982.52,3864.38,203773,203773,203773,1,NaN,NaN,0.00232881,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.0011221
25.9368,3980.02,3862.26,202827,202827,202827,1,NaN,NaN,0.00233228,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00112356
29.2473,3977.52,3860.13,201885,201885,201885,1,NaN,NaN,0.00233575,0,2.38135e+19,1.12632e+20,0,8.29944e+20,9.21886e+18,3.7323e+20,94.969,31.1474,63.8216,NaN,NaN,NaN,NaN,0.0354727,NaN,3.33256e+06,0.00112501
