t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.17098e-08,4000,3866.26,239763,239763,239763,1,NaN,NaN,0.00223115,0,5.17083e+19,2.21181e+20,0,8.30813e+20,8.34979e+18,6.55518e+20,169.775,31.194,138.582,NaN,NaN,NaN,NaN,0.0392234,NaN,3.33256e+06,0.00111206
2.79859,3997.5,3864.63,238813,238813,238813,1,NaN,NaN,0.00223393,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00111349
5.61054,3995,3862.58,237630,237630,237630,1,NaN,NaN,0.00223742,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00111491
8.43649,3992.51,3860.54,236454,236454,236454,1,NaN,NaN,0.00224092,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00111634
11.2765,3990.01,3858.49,235282,235282,235282,1,NaN,NaN,0.00224442,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00111778
14.1307,3987.51,3856.44,234117,234117,234117,1,NaN,NaN,0.00224793,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00111921
16.999,3985.01,3854.39,232956,232956,232956,1,NaN,NaN,0.00225145,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00112066
19.8817,3982.52,3852.34,231802,231802,231802,1,NaN,NaN,0.00225498,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.0011221
22.7787,3980.02,3850.29,230653,230653,230653,1,NaN,NaN,0.00225851,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00112356
25.6901,3977.52,3848.23,229509,229509,229509,1,NaN,NaN,0.00226205,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00112501
28.6161,3975.02,3846.17,228371,228371,228371,1,NaN,NaN,0.0022656,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00112647
31.5566,3972.53,3844.12,227238,227238,227238,1,NaN,NaN,0.00226915,0,5.17079e+19,2.21182e+20,0,8.30813e+20,8.3499e+18,6.55518e+20,169.775,31.194,138.581,NaN,NaN,NaN,NaN,0.0392228,NaN,3.33256e+06,0.00112794
